# Tipo de enemigos
# nFrames, animationType, graphId[0], graphId[1], graphId[2], graphId[3], graphId[4], graphId[5], graphId[6], graphId[7], graphId[8], graphId[9], graphId[10]
#   , hull, shootTypeId, aggresion, score
# id 0  o-ship
8, 1,   1,   2,   3,   4,   5,   6,   7,   8,   0,   0,   0, 10,  1,  35, 5
# id 1  u-ship
8, 1,   9,  10,  11,  12,  13,  14,  15,  16,   0,   0,   0,  6,  0, -25, 2
# id 2  kamikaze peque¤o
6, 1,  22,  23,  24,  25,  26,  27,   0,   0,   0,   0,   0,  2,  0,   0, 1
# id 3  d-ship
5,  ,  17,  18,  19,  20,  21,   0,   0,   0,   0,   0,   0, 12,  1,  30, 1
# id 4  grey turret
3, 2,  28,  29,  30,   0,   0,   0,   0,   0,   0,   0,   0, 20,  1,  40, 1









# vim: set fileencoding=cp850 :
