# Tipo de enemigos
#  hull, canCollide, shootTypeId, aggresion, score, nFrames, animationType,
#  graphId[0], graphId[1], graphId[2], graphId[3], graphId[4], graphId[5], graphId[6], graphId[7], graphId[8], graphId[9], graphId[10]
# id 0  o-ship
 10, 1,  0,  35,  5,  8,    1,    1,   2,   3,   4,   5,   6,   7,   8,   0,   0,   0
# id 1  u-ship
  6, 1,  2, -25,  2,  8,    1,    9,  10,  11,  12,  13,  14,  15,  16,   0,   0,   0
# id 2  kamikaze peque¤o
  2, 1, -1,   0,  1,  6,    1,   22,  23,  24,  25,  26,  27,   0,   0,   0,   0,   0
# id 3  d-ship
 12, 1,  0,  30,  5,  5,  0,   17,  18,  19,  20,  21,   0,   0,   0,   0,   0,   0
# id 4  grey turret
 20, 0,  1,  40, 10,  3,  2,   28,  29,  30,   0,   0,   0,   0,   0,   0,   0,   0
# id 5  brown turret
 20, 0,  1,  30, 10,  3,  2,   31,  31,  32,   0,   0,   0,   0,   0,   0,   0,   0




# vim: set fileencoding=cp850 :
